charge,species,alpha
0,H,0.667
0,He,0.208
0,Li,24.33
0,Be,5.6
0,B,3.03
0,C,1.76
0,N,1.1
0,O,0.802
0,F,0.557
0,Ne,0.381
0,Na,24.11
0,Mg,10.6
0,Al,8.34
0,Si,5.38
0,P,3.63
0,S,2.9
0,Cl,2.18
0,Ar,1.664
0,K,43.4
0,Ca,22.8
0,Zn,5.75
0,Br,3.05
0,Kr,2.498
0,H,0.667
0,He,0.208
0,Li,24.33
0,Be,5.6
0,B,3.03
0,C,1.76
0,N,1.1
0,O,0.802
0,F,0.557
0,Ne,0.381
0,Na,24.11
0,Mg,10.6
0,Al,8.34
0,Si,5.38
0,P,3.63
0,S,2.9
0,Cl,2.18
0,Ar,1.664
0,K,43.4
0,Ca,22.8
0,Zn,5.75
0,Br,3.05
0,Kr,2.498
0,H,0.667
0,He,0.208
0,Li,24.33
0,Be,5.6
0,B,3.03
0,C,1.76
0,N,1.1
0,O,0.802
0,F,0.557
0,Ne,0.381
0,Na,24.11
0,Mg,10.6
0,Al,8.34
0,Si,5.38
0,P,3.63
0,S,2.9
0,Cl,2.18
0,Ar,1.664
0,K,43.4
0,Ca,22.8
0,Zn,5.75
0,Br,3.05
0,Kr,2.498
0,H,0.667
0,He,0.208
0,Li,24.33
0,Be,5.6
0,B,3.03
0,C,1.76
0,N,1.1
0,O,0.802
0,F,0.557
0,Ne,0.381
0,Na,24.11
0,Mg,10.6
0,Al,8.34
0,Si,5.38
0,P,3.63
0,S,2.9
0,Cl,2.18
0,Ar,1.664
0,K,43.4
0,Ca,22.8
0,Zn,5.75
0,Br,3.05
0,Kr,2.498
0,H,0.667
0,He,0.208
0,Li,24.33
0,Be,5.6
0,B,3.03
0,C,1.76
0,N,1.1
0,O,0.802
0,F,0.557
0,Ne,0.381
0,Na,24.11
0,Mg,10.6
0,Al,8.34
0,Si,5.38
0,P,3.63
0,S,2.9
0,Cl,2.18
0,Ar,1.664
0,K,43.4
0,Ca,22.8
0,Zn,5.75
0,Br,3.05
0,Kr,2.498
0,H,0.667
0,He,0.208
0,Li,24.33
0,Be,5.6
0,B,3.03
0,C,1.76
0,N,1.1
0,O,0.802
0,F,0.557
0,Ne,0.381
0,Na,24.11
0,Mg,10.6
0,Al,8.34
0,Si,5.38
0,P,3.63
0,S,2.9
0,Cl,2.18
0,Ar,1.664
0,K,43.4
0,Ca,22.8
0,Zn,5.75
0,Br,3.05
0,Kr,2.498
0,H,0.667
0,He,0.208
0,Li,24.33
0,Be,5.6
0,B,3.03
0,C,1.76
0,N,1.1
0,O,0.802
0,F,0.557
0,Ne,0.381
0,Na,24.11
0,Mg,10.6
0,Al,8.34
0,Si,5.38
0,P,3.63
0,S,2.9
0,Cl,2.18
0,Ar,1.664
0,K,43.4
0,Ca,22.8
0,Zn,5.75
0,Br,3.05
0,Kr,2.498
0,H,0.667
0,He,0.208
0,Li,24.33
0,Be,5.6
0,B,3.03
0,C,1.76
0,N,1.1
0,O,0.802
0,F,0.557
0,Ne,0.381
0,Na,24.11
0,Mg,10.6
0,Al,8.34
0,Si,5.38
0,P,3.63
0,S,2.9
0,Cl,2.18
0,Ar,1.664
0,K,43.4
0,Ca,22.8
0,Zn,5.75
0,Br,3.05
0,Kr,2.498
0,H,0.667
0,He,0.208
0,Li,24.33
0,Be,5.6
0,B,3.03
0,C,1.76
0,N,1.1
0,O,0.802
0,F,0.557
0,Ne,0.381
0,Na,24.11
0,Mg,10.6
0,Al,8.34
0,Si,5.38
0,P,3.63
0,S,2.9
0,Cl,2.18
0,Ar,1.664
0,K,43.4
0,Ca,22.8
0,Zn,5.75
0,Br,3.05
0,Kr,2.498
0,H,0.667
0,He,0.208
0,Li,24.33
0,Be,5.6
0,B,3.03
0,C,1.76
0,N,1.1
0,O,0.802
0,F,0.557
0,Ne,0.381
0,Na,24.11
0,Mg,10.6
0,Al,8.34
0,Si,5.38
0,P,3.63
0,S,2.9
0,Cl,2.18
0,Ar,1.664
0,K,43.4
0,Ca,22.8
0,Zn,5.75
0,Br,3.05
0,Kr,2.498
0,H,0.667
0,He,0.208
0,Li,24.33
0,Be,5.6
0,B,3.03
0,C,1.76
0,N,1.1
0,O,0.802
0,F,0.557
0,Ne,0.381
0,Na,24.11
0,Mg,10.6
0,Al,8.34
0,Si,5.38
0,P,3.63
0,S,2.9
0,Cl,2.18
0,Ar,1.664
0,K,43.4
0,Ca,22.8
0,Zn,5.75
0,Br,3.05
0,Kr,2.498
0,H,0.667
0,He,0.208
0,Li,24.33
0,Be,5.6
0,B,3.03
0,C,1.76
0,N,1.1
0,O,0.802
0,F,0.557
0,Ne,0.381
0,Na,24.11
0,Mg,10.6
0,Al,8.34
0,Si,5.38
0,P,3.63
0,S,2.9
0,Cl,2.18
0,Ar,1.664
0,K,43.4
0,Ca,22.8
0,Zn,5.75
0,Br,3.05
0,Kr,2.498
